type,amount,oldbalanceOrg,newbalanceOrig,isFraud
CASH_IN,174230.84,20723.0,194953.84,0
TRANSFER,704477.84,0.0,0.0,0
CASH_IN,21310.21,20668.0,41978.21,0
CASH_OUT,14554.54,0.0,0.0,0
PAYMENT,2981.95,41003.0,38021.05,0
CASH_IN,30656.51,8447254.69,8477911.2,0
CASH_OUT,139046.77,275.0,0.0,0
CASH_IN,56403.43,9206963.6,9263367.04,0
CASH_OUT,112562.54,30133.0,0.0,0
PAYMENT,20419.19,1830.0,0.0,0
PAYMENT,884.31,1011.0,126.69,0
TRANSFER,194605.15,179833.0,0.0,0
CASH_IN,408068.76,3020954.94,3429023.71,0
CASH_OUT,148278.59,0.0,0.0,0
PAYMENT,3227.2,14432.0,11204.8,0
CASH_OUT,133027.88,27144.0,0.0,0
CASH_OUT,49939.64,262.0,0.0,0
PAYMENT,14129.62,9301.0,0.0,0
CASH_IN,281978.35,9947.0,291925.35,0
CASH_OUT,95504.16,55753.0,0.0,0
TRANSFER,558073.69,0.0,0.0,0
CASH_OUT,62351.34,75280.0,12928.66,0
PAYMENT,11971.69,94298.0,82326.31,0
CASH_IN,77544.27,680274.4,757818.67,0
CASH_OUT,251510.3,31041.0,0.0,0
CASH_OUT,122967.11,0.0,0.0,0
CASH_IN,251952.25,8240.0,260192.25,0
PAYMENT,20020.61,141116.61,121096.01,0
PAYMENT,2748.6,0.0,0.0,0
CASH_OUT,175825.01,0.0,0.0,0
PAYMENT,25106.06,0.0,0.0,0
CASH_OUT,57023.97,20982.0,0.0,0
CASH_OUT,74103.27,259671.74,185568.47,0
CASH_OUT,37891.64,52001.0,14109.36,0
CASH_IN,35086.5,4395781.93,4430868.43,0
CASH_IN,82534.5,773595.05,856129.55,0
PAYMENT,301.03,319073.96,318772.94,0
CASH_OUT,393456.7,1555.0,0.0,0
CASH_OUT,118863.93,0.0,0.0,0
CASH_OUT,1561.78,0.0,0.0,0
CASH_IN,404770.93,31400.0,436170.93,0
PAYMENT,7166.88,0.0,0.0,0
CASH_IN,499380.8,1434413.45,1933794.24,0
PAYMENT,13119.97,15326.0,2206.03,0
CASH_OUT,19358.73,0.0,0.0,0
PAYMENT,7519.23,0.0,0.0,0
PAYMENT,11361.68,51542.0,40180.32,0
CASH_OUT,118961.3,0.0,0.0,0
PAYMENT,4341.45,0.0,0.0,0
CASH_OUT,148070.97,2002.0,0.0,0
PAYMENT,12492.84,468.22,0.0,0
PAYMENT,6473.04,41299.72,34826.68,0
PAYMENT,12665.89,0.0,0.0,0
PAYMENT,10976.29,148427.0,137450.71,0
PAYMENT,18397.48,0.0,0.0,0
CASH_IN,138507.0,5523.0,144030.0,0
PAYMENT,6964.41,2716.0,0.0,0
CASH_IN,370220.37,20071.0,390291.37,0
CASH_OUT,23164.18,20734.0,0.0,0
TRANSFER,1604990.9,0.0,0.0,0
PAYMENT,26276.22,227103.52,200827.3,0
CASH_OUT,173404.28,16728.0,0.0,0
PAYMENT,3714.61,5038.0,1323.39,0
CASH_OUT,315231.94,50952.0,0.0,0
PAYMENT,6136.09,219972.52,213836.44,0
PAYMENT,46627.9,0.0,0.0,0
CASH_IN,72955.07,12177753.68,12250708.75,0
CASH_IN,418737.13,2817457.18,3236194.31,0
TRANSFER,453595.03,0.0,0.0,0
CASH_OUT,315238.19,11054.0,0.0,0
PAYMENT,363.12,740530.27,740167.15,0
CASH_OUT,15808.02,0.0,0.0,0
CASH_OUT,6380.8,53642.0,47261.2,0
CASH_IN,238453.09,4022912.78,4261365.87,0
CASH_IN,571289.71,4699959.64,5271249.35,0
PAYMENT,32068.6,524466.65,492398.05,0
CASH_IN,205114.46,8831862.42,9036976.87,0
CASH_IN,73805.84,7469788.39,7543594.23,0
TRANSFER,1140474.16,0.0,0.0,0
PAYMENT,16017.72,0.0,0.0,0
CASH_IN,113025.04,898054.15,1011079.18,0
CASH_OUT,41663.47,0.0,0.0,0
CASH_OUT,144375.1,0.0,0.0,0
CASH_IN,80793.14,130496.0,211289.14,0
CASH_OUT,106987.51,0.0,0.0,0
PAYMENT,11290.06,36051.0,24760.94,0
CASH_IN,35661.78,440.0,36101.78,0
TRANSFER,132195.25,0.0,0.0,0
CASH_OUT,7622.01,4829.0,0.0,0
CASH_OUT,84709.85,62572.18,0.0,0
PAYMENT,3393.07,0.0,0.0,0
CASH_OUT,34975.52,0.0,0.0,0
DEBIT,1271.01,1881.0,609.99,0
PAYMENT,7284.29,0.0,0.0,0
PAYMENT,16693.07,10200.0,0.0,0
CASH_OUT,324731.73,23151.0,0.0,0
CASH_IN,66603.69,11575368.71,11641972.4,0
CASH_OUT,462668.1,0.0,0.0,0
PAYMENT,1948.37,18736.09,16787.71,0
CASH_OUT,226323.76,0.0,0.0,0
CASH_OUT,70790.59,0.0,0.0,0
PAYMENT,3074.2,41519.0,38444.8,0
CASH_OUT,85180.51,0.0,0.0,0
CASH_OUT,77425.18,0.0,0.0,0
PAYMENT,85848.84,10736.0,0.0,0
CASH_OUT,70622.64,0.0,0.0,0
CASH_OUT,60111.05,0.0,0.0,0
TRANSFER,3635328.11,10436.0,0.0,0
CASH_OUT,394788.96,46109.0,0.0,0
PAYMENT,7545.25,21532.0,13986.75,0
CASH_OUT,513625.95,12561.0,0.0,0
CASH_IN,273427.82,1517274.09,1790701.91,0
PAYMENT,2607.6,21639.0,19031.4,0
PAYMENT,816.44,0.0,0.0,0
CASH_IN,152123.98,15295473.64,15447597.61,0
CASH_IN,193327.4,8163932.05,8357259.46,0
PAYMENT,8321.61,19643.0,11321.39,0
PAYMENT,9334.66,1957.31,0.0,0
CASH_OUT,508328.07,0.0,0.0,0
CASH_OUT,186551.83,60791.0,0.0,0
CASH_IN,114626.33,6026.0,120652.33,0
PAYMENT,65523.58,933.0,0.0,0
CASH_OUT,279993.03,0.0,0.0,0
PAYMENT,23576.28,677285.96,653709.69,0
CASH_IN,341710.58,50416.0,392126.58,0
PAYMENT,14842.26,32048.45,17206.19,0
TRANSFER,11997957.55,0.0,0.0,0
CASH_IN,89068.41,14740.0,103808.41,0
CASH_OUT,440680.07,15841.0,0.0,0
TRANSFER,523111.11,0.0,0.0,0
PAYMENT,10615.04,39125.36,28510.31,0
CASH_OUT,132552.28,0.0,0.0,0
CASH_IN,98975.8,3825123.06,3924098.85,0
PAYMENT,2136.11,550023.88,547887.77,0
CASH_OUT,34749.34,56772.0,22022.66,0
TRANSFER,203737.03,0.0,0.0,0
CASH_OUT,100969.53,745206.68,644237.16,0
TRANSFER,166922.22,9704.0,0.0,0
PAYMENT,20246.79,30244.0,9997.21,0
TRANSFER,500698.98,316628.0,0.0,0
CASH_OUT,151663.59,147.0,0.0,0
CASH_IN,224391.54,1270931.64,1495323.18,0
TRANSFER,888887.16,0.0,0.0,0
PAYMENT,38749.56,6065.0,0.0,0
PAYMENT,23709.5,38254.0,14544.5,0
PAYMENT,1002.99,12118.0,11115.01,0
TRANSFER,988204.68,0.0,0.0,0
CASH_IN,78946.39,91851.0,170797.39,0
PAYMENT,3858.9,205800.28,201941.38,0
CASH_OUT,13546.09,0.0,0.0,0
PAYMENT,1399.22,0.0,0.0,0
CASH_IN,242030.09,9325194.11,9567224.2,0
PAYMENT,25845.83,0.0,0.0,0
PAYMENT,4.9,96062.26,96057.36,0
PAYMENT,19406.28,190270.6,170864.31,0
PAYMENT,22036.15,105809.0,83772.85,0
CASH_IN,68665.93,8171033.95,8239699.88,0
PAYMENT,15897.57,38430.0,22532.43,0
CASH_OUT,87250.03,0.0,0.0,0
CASH_IN,67147.7,1330147.22,1397294.92,0
CASH_OUT,211226.92,40635.0,0.0,0
PAYMENT,12395.85,51213.96,38818.11,0
CASH_IN,285632.03,52243.71,337875.74,0
PAYMENT,21013.18,0.0,0.0,0
PAYMENT,4425.8,0.0,0.0,0
CASH_IN,133241.13,10843787.86,10977028.98,0
PAYMENT,4640.44,31844.0,27203.56,0
CASH_OUT,427503.76,27624.0,0.0,0
CASH_OUT,165190.18,0.0,0.0,0
TRANSFER,231894.75,25644.0,0.0,0
CASH_OUT,134528.85,0.0,0.0,0
PAYMENT,4553.12,0.0,0.0,0
PAYMENT,16050.32,24360.73,8310.41,0
PAYMENT,8988.85,7833.0,0.0,0
CASH_OUT,238805.3,0.0,0.0,0
CASH_OUT,533315.62,0.0,0.0,0
PAYMENT,17455.94,11155.0,0.0,0
PAYMENT,3752.41,10166.0,6413.59,0
PAYMENT,595.67,0.0,0.0,0
CASH_OUT,49194.93,20683.0,0.0,0
PAYMENT,17647.97,0.0,0.0,0
TRANSFER,217365.58,0.0,0.0,0
PAYMENT,349.91,102155.0,101805.09,0
PAYMENT,2847.67,0.0,0.0,0
CASH_IN,328660.16,24643605.65,24972265.81,0
CASH_IN,691694.36,741162.4,1432856.76,0
CASH_IN,355077.74,0.0,355077.74,0
CASH_OUT,77380.14,0.0,0.0,0
CASH_OUT,118105.95,17071.01,0.0,0
PAYMENT,8200.25,11440.0,3239.75,0
CASH_IN,294938.98,12348.0,307286.98,0
CASH_OUT,285143.18,6460.0,0.0,0
TRANSFER,451718.08,11778.0,0.0,0
CASH_IN,145514.28,572.0,146086.28,0
PAYMENT,1416.92,172461.86,171044.94,0
CASH_OUT,324633.29,0.0,0.0,0
CASH_IN,356037.76,214.0,356251.76,0
PAYMENT,388.04,5551.0,5162.96,0
CASH_OUT,13382.68,0.0,0.0,0
CASH_OUT,108722.4,7101.0,0.0,0
CASH_OUT,10980.99,16032.0,5051.01,0
PAYMENT,9117.31,308153.0,299035.69,0
PAYMENT,44357.36,240.0,0.0,0
PAYMENT,10215.92,127247.2,117031.29,0
PAYMENT,17555.22,0.0,0.0,0
CASH_OUT,249873.27,0.0,0.0,0
PAYMENT,20853.31,3076.0,0.0,0
CASH_OUT,151597.36,0.0,0.0,0
CASH_OUT,232585.8,165562.0,0.0,0
CASH_OUT,193646.85,0.0,0.0,0
DEBIT,2919.72,10785.0,7865.28,0
CASH_OUT,35025.56,0.0,0.0,0
CASH_OUT,68342.8,51719.0,0.0,0
CASH_IN,165172.6,2590140.06,2755312.66,0
CASH_OUT,230990.44,0.0,0.0,0
CASH_OUT,274808.04,0.0,0.0,0
CASH_IN,45786.65,2476041.25,2521827.9,0
CASH_OUT,200268.44,20640.0,0.0,0
CASH_IN,191353.18,4521524.76,4712877.93,0
PAYMENT,22774.91,0.0,0.0,0
PAYMENT,9063.08,242587.29,233524.21,0
CASH_IN,160816.78,8027878.52,8188695.3,0
PAYMENT,3536.98,2241.22,0.0,0
CASH_IN,210219.54,2908442.89,3118662.43,0
CASH_OUT,133262.43,0.0,0.0,0
PAYMENT,2704.36,278488.58,275784.22,0
CASH_OUT,230292.27,2083.0,0.0,0
CASH_OUT,423485.76,49659.0,0.0,0
CASH_IN,330688.35,1076294.1,1406982.45,0
CASH_OUT,40449.91,0.0,0.0,0
CASH_OUT,476298.8,0.0,0.0,0
CASH_OUT,132043.51,0.0,0.0,0
PAYMENT,647.86,20912.0,20264.14,0
PAYMENT,25764.72,154263.0,128498.28,0
CASH_OUT,34958.7,81227.0,46268.3,0
PAYMENT,12877.22,740280.0,727402.78,0
CASH_IN,312850.64,30496.0,343346.64,0
PAYMENT,2855.88,58594.0,55738.12,0
CASH_OUT,111341.32,367645.87,256304.56,0
CASH_IN,624723.54,82815.0,707538.54,0
PAYMENT,21766.78,0.0,0.0,0
CASH_IN,172865.19,6652090.2,6824955.39,0
CASH_IN,141892.33,40242.0,182134.33,0
PAYMENT,27246.51,1081.0,0.0,0
PAYMENT,30939.15,45410.95,14471.81,0
CASH_OUT,72053.03,0.0,0.0,0
PAYMENT,3285.57,0.0,0.0,0
PAYMENT,3545.07,198896.35,195351.28,0
PAYMENT,1555.53,0.0,0.0,0
CASH_OUT,216803.7,31471.0,0.0,0
CASH_IN,206010.19,4171222.97,4377233.16,0
PAYMENT,20916.73,0.0,0.0,0
TRANSFER,40052.27,21440.0,0.0,0
CASH_OUT,122300.72,51484.0,0.0,0
CASH_OUT,363240.27,0.0,0.0,0
CASH_OUT,98094.55,0.0,0.0,0
PAYMENT,1945.62,19942.0,17996.38,0
CASH_OUT,215151.03,0.0,0.0,0
CASH_OUT,287307.77,0.0,0.0,0
CASH_IN,407359.73,1692102.35,2099462.08,0
CASH_OUT,369672.98,0.0,0.0,0
PAYMENT,6181.62,0.0,0.0,0
PAYMENT,19809.05,124243.53,104434.48,0
CASH_OUT,341986.68,0.0,0.0,0
PAYMENT,4466.85,1722.1,0.0,0
CASH_IN,314758.83,10791.0,325549.83,0
TRANSFER,58905.66,0.0,0.0,0
PAYMENT,10564.56,0.0,0.0,0
CASH_OUT,102450.39,33190.0,0.0,0
PAYMENT,22161.32,51785.0,29623.68,0
CASH_OUT,106790.47,60027.0,0.0,0
PAYMENT,9813.34,0.0,0.0,0
PAYMENT,3432.88,0.0,0.0,0
CASH_IN,76455.68,5209018.01,5285473.69,0
PAYMENT,3806.46,10316.83,6510.38,0
CASH_OUT,59964.24,0.0,0.0,0
PAYMENT,2722.61,0.0,0.0,0
CASH_OUT,114975.92,81707.0,0.0,0
CASH_OUT,347312.7,53075.0,0.0,0
PAYMENT,17339.53,100889.0,83549.47,0
CASH_OUT,32562.89,0.0,0.0,0
CASH_IN,149128.9,19014041.69,19163170.59,0
CASH_IN,247691.45,29845.38,277536.84,0
CASH_IN,48255.07,115997.0,164252.07,0
CASH_IN,66298.95,60969.0,127267.95,0
CASH_IN,363626.22,4310395.0,4674021.23,0
CASH_IN,129349.78,1412490.26,1541840.04,0
CASH_OUT,96014.77,0.0,0.0,0
CASH_IN,169113.53,1399225.5,1568339.03,0
CASH_OUT,3476.01,40586.0,37109.99,0
CASH_IN,117211.25,20399.0,137610.25,0
PAYMENT,6291.48,56176.0,49884.52,0
PAYMENT,8375.37,37895.0,29519.63,0
CASH_OUT,88615.42,11278.0,0.0,0
PAYMENT,17541.6,12954.7,0.0,0
PAYMENT,1420.82,5107.0,3686.19,0
CASH_IN,8662.02,131014.0,139676.02,0
CASH_IN,415566.51,11850.0,427416.51,0
CASH_IN,737.14,10386423.56,10387160.7,0
CASH_OUT,47481.9,0.0,0.0,0
CASH_OUT,278732.6,32149.0,0.0,0
CASH_IN,166690.54,10432269.12,10598959.66,0
CASH_OUT,370848.51,9940.0,0.0,0
CASH_IN,133628.83,32166.0,165794.83,0
CASH_IN,145293.42,2980.0,148273.42,0
PAYMENT,786.44,181051.85,180265.41,0
PAYMENT,1810.14,0.0,0.0,0
PAYMENT,2417.77,59106.0,56688.23,0
CASH_OUT,117249.99,26105.0,0.0,0
CASH_OUT,142004.59,3316.0,0.0,0
CASH_OUT,231676.33,0.0,0.0,0
CASH_OUT,278300.03,1406.0,0.0,0
TRANSFER,2590333.97,0.0,0.0,0
CASH_OUT,546652.31,0.0,0.0,0
CASH_OUT,324609.22,82113.0,0.0,0
CASH_OUT,86225.56,0.0,0.0,0
PAYMENT,11631.53,0.0,0.0,0
CASH_OUT,138087.54,0.0,0.0,0
PAYMENT,8460.8,77718.0,69257.2,0
PAYMENT,6340.43,0.0,0.0,0
CASH_IN,207366.5,4067443.89,4274810.39,0
PAYMENT,9733.56,15315.0,5581.44,0
CASH_OUT,73230.68,15318.0,0.0,0
PAYMENT,18436.47,20257.0,1820.53,0
PAYMENT,23965.21,0.0,0.0,0
CASH_OUT,87925.25,50061.0,0.0,0
CASH_OUT,429320.47,0.0,0.0,0
CASH_IN,22786.17,3288491.36,3311277.54,0
TRANSFER,90076.59,0.0,0.0,0
CASH_OUT,95549.82,0.0,0.0,0
PAYMENT,7947.18,0.0,0.0,0
CASH_OUT,205411.83,0.0,0.0,0
TRANSFER,49028.96,0.0,0.0,0
PAYMENT,5499.69,16166.0,10666.31,0
CASH_OUT,339547.49,211535.0,0.0,0
CASH_OUT,184433.86,94883.0,0.0,0
CASH_OUT,193881.19,116377.0,0.0,0
CASH_OUT,152261.69,28149.0,0.0,0
CASH_OUT,209164.1,0.0,0.0,0
CASH_OUT,286574.6,0.0,0.0,0
CASH_OUT,58143.88,141514.0,83370.12,0
CASH_OUT,19389.4,9959.0,0.0,0
PAYMENT,19539.84,10445.0,0.0,0
CASH_OUT,256494.2,0.0,0.0,0
CASH_OUT,7832.09,0.0,0.0,0
CASH_IN,3464.31,5668584.64,5672048.95,0
CASH_OUT,16283.09,46284.0,30000.91,0
CASH_IN,271938.55,20067798.76,20339737.31,0
CASH_OUT,88777.62,179.0,0.0,0
PAYMENT,8179.11,17830.46,9651.35,0
PAYMENT,3844.42,1730.0,0.0,0
DEBIT,1164.9,107485.0,106320.1,0
PAYMENT,3237.48,0.0,0.0,0
CASH_OUT,482259.95,60794.0,0.0,0
PAYMENT,5466.03,0.0,0.0,0
CASH_OUT,142668.71,0.0,0.0,0
CASH_OUT,250567.63,0.0,0.0,0
PAYMENT,24548.01,446.0,0.0,0
CASH_IN,315332.63,18976936.18,19292268.81,0
PAYMENT,9115.76,56532.0,47416.24,0
PAYMENT,11450.12,117892.0,106441.88,0
CASH_IN,17669.99,5600.0,23269.99,0
CASH_IN,27853.7,1997374.83,2025228.53,0
PAYMENT,885.14,553896.29,553011.15,0
CASH_OUT,263270.68,92686.0,0.0,0
CASH_IN,111584.6,3465722.02,3577306.62,0
CASH_IN,238942.83,90397.78,329340.6,0
PAYMENT,8215.62,118490.28,110274.66,0
PAYMENT,7419.61,25329.0,17909.39,0
CASH_OUT,141096.85,39842.0,0.0,0
CASH_OUT,68402.97,30836.0,0.0,0
CASH_OUT,407386.32,25328.0,0.0,0
CASH_OUT,210077.58,913.0,0.0,0
CASH_OUT,544890.56,0.0,0.0,0
CASH_OUT,167869.5,48165.0,0.0,0
CASH_IN,206351.02,101822.0,308173.02,0
CASH_OUT,249781.41,0.0,0.0,0
PAYMENT,15814.75,16598.66,783.91,0
TRANSFER,539510.01,11019.0,0.0,0
CASH_OUT,87646.89,0.0,0.0,0
PAYMENT,14139.44,535559.62,521420.18,0
CASH_OUT,211633.16,307270.92,95637.75,0
CASH_IN,56873.58,361.0,57234.58,0
PAYMENT,3649.81,81953.0,78303.19,0
CASH_IN,128146.55,1603277.07,1731423.62,0
CASH_IN,223982.0,540.0,224522.0,0
PAYMENT,11404.46,18012.0,6607.54,0
CASH_IN,124545.18,204.0,124749.18,0
PAYMENT,11921.54,694112.79,682191.25,0
PAYMENT,15902.84,0.0,0.0,0
TRANSFER,137326.07,146.0,0.0,0
CASH_IN,113717.08,4018082.21,4131799.29,0
CASH_OUT,137722.35,0.0,0.0,0
CASH_IN,230700.85,151358.0,382058.85,0
CASH_IN,270519.08,50.0,270569.08,0
CASH_OUT,100193.79,0.0,0.0,0
CASH_OUT,183192.17,0.0,0.0,0
CASH_OUT,67336.2,11630.0,0.0,0
PAYMENT,8003.24,0.0,0.0,0
CASH_OUT,443719.49,0.0,0.0,0
CASH_IN,266960.48,7943996.13,8210956.61,0
PAYMENT,17837.01,21892.0,4054.99,0
PAYMENT,10359.13,421043.0,410683.87,0
PAYMENT,8978.64,250417.0,241438.36,0
CASH_OUT,121730.94,0.0,0.0,0
PAYMENT,18057.86,19908.31,1850.45,0
CASH_OUT,128158.4,0.0,0.0,0
CASH_OUT,95076.14,206034.17,110958.03,0
TRANSFER,985874.92,0.0,0.0,0
PAYMENT,23431.96,31183.0,7751.04,0
CASH_IN,57762.33,1759654.6,1817416.92,0
CASH_OUT,53948.17,5512.0,0.0,0
CASH_OUT,303300.92,0.0,0.0,0
CASH_IN,98374.57,6734721.93,6833096.5,0
CASH_OUT,464866.46,32575.0,0.0,0
CASH_IN,244570.35,7453074.43,7697644.78,0
CASH_OUT,258613.38,92053.0,0.0,0
CASH_OUT,97589.67,68.0,0.0,0
CASH_OUT,384508.46,0.0,0.0,0
CASH_OUT,268658.44,383897.0,115238.56,0
CASH_OUT,132151.77,0.0,0.0,0
TRANSFER,395304.31,0.0,0.0,0
CASH_OUT,53741.78,277.0,0.0,0
CASH_OUT,319646.11,0.0,0.0,0
PAYMENT,12155.9,0.0,0.0,0
CASH_IN,47095.44,2121473.26,2168568.71,0
CASH_OUT,51829.2,3236.0,0.0,0
CASH_OUT,233476.59,0.0,0.0,0
PAYMENT,16485.97,20859.0,4373.03,0
CASH_IN,235923.86,45858.21,281782.08,0
CASH_OUT,363791.66,0.0,0.0,0
PAYMENT,12025.48,41888.31,29862.84,0
CASH_OUT,71378.05,0.0,0.0,0
PAYMENT,38392.21,0.0,0.0,0
CASH_OUT,130995.67,22168.0,0.0,0
PAYMENT,25460.43,29776.0,4315.57,0
PAYMENT,42108.41,0.0,0.0,0
PAYMENT,6021.36,127546.94,121525.58,0
TRANSFER,271562.24,0.0,0.0,0
CASH_OUT,47359.36,40442.0,0.0,0
CASH_OUT,177428.9,0.0,0.0,0
PAYMENT,21547.12,18214.81,0.0,0
CASH_IN,186434.64,703.0,187137.64,0
CASH_OUT,105786.88,0.0,0.0,0
CASH_IN,180208.86,31942.0,212150.86,0
PAYMENT,42587.32,0.0,0.0,0
CASH_OUT,66692.96,118786.11,52093.15,0
PAYMENT,2536.11,0.0,0.0,0
PAYMENT,3361.14,0.0,0.0,0
CASH_IN,382871.11,7004569.49,7387440.6,0
PAYMENT,1689.38,124845.0,123155.62,0
PAYMENT,2128.4,20915.0,18786.6,0
CASH_OUT,51265.97,0.0,0.0,0
CASH_IN,112943.73,19158.0,132101.73,0
PAYMENT,20277.79,31381.0,11103.21,0
CASH_OUT,355207.55,0.0,0.0,0
CASH_OUT,20694.57,0.0,0.0,0
DEBIT,1540.99,20257.0,18716.01,0
PAYMENT,19998.58,45657.39,25658.81,0
CASH_OUT,28545.99,35465.52,6919.53,0
CASH_IN,113561.2,105110.0,218671.2,0
CASH_IN,247474.04,8366365.19,8613839.23,0
CASH_OUT,286112.21,13374.0,0.0,0
PAYMENT,8649.51,21067.0,12417.49,0
CASH_OUT,240544.11,15138.0,0.0,0
CASH_IN,220408.49,1945761.4,2166169.9,0
PAYMENT,4420.59,0.0,0.0,0
CASH_IN,488423.21,6867475.1,7355898.31,0
CASH_OUT,174925.63,0.0,0.0,0
PAYMENT,8213.9,349243.38,341029.48,0
CASH_OUT,355061.79,0.0,0.0,0
CASH_IN,229149.99,12482897.06,12712047.05,0
PAYMENT,17080.78,0.0,0.0,0
TRANSFER,479832.09,0.0,0.0,0
CASH_OUT,79946.03,0.0,0.0,0
CASH_OUT,2730.91,42733.0,40002.09,0
PAYMENT,4792.22,13286.0,8493.78,0
PAYMENT,5556.96,10027.0,4470.04,0
CASH_IN,262917.64,25980345.26,26243262.9,0
CASH_OUT,229428.85,0.0,0.0,0
CASH_OUT,53119.93,0.0,0.0,0
